material_id,formula,corrected_energy_per_atom,ML2CGCNN,CGCNN,e_above_hull,formation_energy_per_atom,nelements,elements,icsd_ids,Ehull_Pre,FormE,STE_DFT,STE_predicted
mp-1008901,Mg1H2,-2.980265927,-2.948355675,-2.854503393,0.10935493,-0.168809514,3,Mg-H,[166234],0.147603273,-0.154246469,-0.697364916,-0.704646674
mp-23712,Mg4H8,-3.007978008,-3.095958948,-3.099538803,0.081642849,-0.196521594,12,Mg-H,[155809],0,-0.301849743,-0.683508426,-0.630842643
mp-569051,Mg4H8,-3.049236108,-2.93859005,-3.026955128,0.040384749,-0.237779694,12,Mg-H,[155810],0.157368898,-0.144480844,-0.662878706,-0.709529645
mp-1039033,Ca1Mg3,-1.663827225,-1.717032433,-1.667330027,0.123506417,0.033710396,4,Ca-Mg,[],0.082699438,-0.019494811,-2.502086994,-2.475483528
mp-1038961,Ca1Mg1,-1.746669785,-1.827732325,-1.665103197,0.13557265,0.051509541,2,Ca-Mg,[],0.09842205,-0.029552999,-2.631795977,-2.591263393
mp-1039233,Ca2Mg4,-1.642685093,-1.746571064,-1.487934828,0.198783283,0.088399763,6,Ca-Mg,[],0.11154151,-0.015486208,-2.569307059,-2.517362389
mp-1039570,Ca2Mg4,-1.778239333,-1.793429375,-1.64018178,0.063229042,-0.047154477,6,Ca-Mg,[],0.064683199,-0.062344519,-2.50152774,-2.493932473
mvc-1926,Mg2Cu9O13,-5.508565894,-5.110507011,-6.335033894,0.10920049,-1.166428271,24,Mg-Cu-O,[],0.507259372,-0.760087305,0.621566541,0.489776007
mvc-7266,Mg2Cu4O8,-5.526937207,-5.224433422,-6.229774952,0.198963179,-1.308941331,14,Mg-Cu-O,[],0.501466964,-0.997700403,0.561810636,0.462776219
mvc-4732,Mg4Cu4O8,-5.806188278,-5.449780464,-6.535456181,0.090606473,-1.915829896,16,Mg-Cu-O,[],0.447014286,-1.551777083,0.576090311,0.454735436
mp-1222114,Mg3Cu9O12,-5.610007111,-5.275774002,-5.876181602,0.071579654,-1.406859886,24,Mg-Cu-O,[],0.405812763,-1.064981777,0.631447844,0.517484778
